Age,Gender,Balance,NumOfProducts,Geography,IsActiveMember,Exited
42,1,0.0,1,France,1,1
41,1,83807.86,1,Spain,1,0
42,1,159660.8,3,France,0,1
39,1,0.0,2,France,0,0
43,1,125510.82,1,Spain,1,0
44,0,113755.78,2,Spain,0,1
50,0,0.0,2,France,1,0
29,1,115046.74,4,Germany,0,1
44,0,142051.07,2,France,1,0
27,0,134603.88,1,France,1,0
31,0,102016.72,2,France,0,0
24,0,0.0,2,Spain,0,0
34,1,0.0,2,France,0,0
25,1,0.0,2,France,0,0
35,1,0.0,2,Spain,1,0
45,0,143129.41,2,Germany,1,0
58,0,132602.88,1,Germany,0,1
24,1,0.0,2,Spain,1,0
45,0,0.0,1,Spain,0,0
24,1,0.0,2,France,1,0
41,0,0.0,2,France,1,0
32,1,0.0,2,Spain,0,0
38,1,0.0,1,Spain,0,1
46,0,0.0,2,France,1,0
38,1,0.0,1,France,1,0
25,0,0.0,2,France,1,0
36,0,136815.64,1,Germany,1,0
44,0,0.0,2,France,0,0
43,1,141349.43,1,Germany,1,0
29,0,59697.17,2,France,1,0
39,1,0.0,3,Spain,0,1
36,0,85311.7,1,France,1,0
41,0,110112.54,2,Germany,0,0
42,1,0.0,2,Spain,1,0
29,1,0.0,2,Spain,1,0
45,1,134264.04,1,France,0,1
31,0,145260.23,1,Spain,1,0
33,0,76548.6,1,Spain,1,0
36,0,0.0,1,France,1,0
41,0,70349.48,2,Germany,1,0
40,0,0.0,1,Spain,0,0
51,1,122522.32,1,France,0,1
61,1,117419.35,1,France,1,0
49,1,131394.56,1,France,0,1
61,1,155931.11,1,Spain,1,0
32,1,109421.13,2,Germany,1,0
27,1,112045.67,1,Germany,1,1
39,1,137843.8,1,Germany,1,1
38,0,103391.38,1,Germany,1,0
37,1,103769.22,2,Germany,0,0
44,0,116363.37,2,Germany,0,0
36,0,146050.97,2,Germany,0,0
33,1,0.0,2,France,0,0
41,0,125561.97,1,Germany,0,1
42,0,98495.72,1,Germany,0,1
43,0,125211.92,1,France,1,0
45,0,127864.4,1,France,0,0
19,0,75888.2,1,Germany,0,0
66,1,0.0,1,Spain,0,1
51,0,40685.92,1,France,1,0
35,0,136857.0,1,Germany,0,0
27,1,152328.88,2,Germany,0,0
33,0,56084.69,2,Spain,0,0
56,0,78707.16,1,Spain,1,0
26,0,109166.37,1,Germany,1,0
36,1,169831.46,2,Germany,1,0
34,1,101633.04,1,Germany,0,0
43,0,123180.01,2,Germany,1,0
35,1,150725.53,2,Germany,1,0
21,1,98373.26,1,France,0,0
58,0,133745.44,4,Germany,0,1
29,0,0.0,1,France,0,0
37,1,163607.18,1,Spain,1,0
25,1,157780.84,2,Germany,1,0
36,0,0.0,2,France,1,0
21,1,178718.19,2,France,0,0
55,0,0.0,2,France,1,0
32,1,0.0,1,France,1,0
33,0,77253.22,1,Spain,1,0
41,1,122189.66,2,Germany,0,0
34,1,96645.54,2,France,0,0
32,1,0.0,1,France,0,1
36,1,0.0,2,France,0,0
34,1,90307.62,1,France,1,0
46,1,0.0,2,France,0,0
75,1,0.0,2,Spain,1,0
22,0,121681.82,1,Spain,0,1
30,0,0.0,2,France,0,0
46,1,0.0,3,France,0,1
28,1,81623.67,2,Germany,1,0
44,1,0.0,3,Spain,1,1
45,0,118626.55,2,France,0,0
36,1,0.0,2,France,0,0
29,0,0.0,2,France,1,0
42,0,0.0,2,Spain,1,0
35,0,176273.95,1,Spain,1,0
41,0,102827.44,1,Spain,1,0
29,0,97086.4,2,Germany,1,0
22,0,0.0,2,Spain,0,0
34,0,0.0,2,France,0,0
40,1,0.0,1,France,1,0
44,1,0.0,2,France,0,0
31,0,82674.15,1,France,0,0
36,0,0.0,2,Spain,0,0
65,1,0.0,1,Spain,1,1
46,1,107073.27,2,Spain,1,1
32,0,88938.62,1,Germany,1,0
36,1,99806.85,1,Germany,1,0
33,0,150092.8,1,Spain,0,0
35,0,92833.89,1,Germany,0,1
30,0,90536.81,1,Germany,1,0
39,0,108055.1,2,Germany,0,0
42,0,100238.35,1,France,0,0
36,0,106190.55,1,Spain,1,0
28,0,154475.54,2,Germany,1,1
30,1,132351.29,2,Germany,1,0
37,1,167864.4,1,Germany,0,0
41,1,0.0,2,France,0,0
31,1,107818.63,1,Germany,0,1
34,0,185173.81,2,Germany,0,0
34,0,129433.34,2,France,0,0
39,0,120193.42,1,Spain,0,0
39,1,0.0,2,France,0,0
48,1,126384.42,1,Germany,1,0
28,1,0.0,1,France,0,0
42,0,152603.45,1,France,0,1
52,1,0.0,1,France,1,1
56,0,148507.24,1,Germany,0,1
41,1,0.0,2,France,0,0
24,0,101827.07,1,France,0,0
34,1,0.0,2,France,1,0
33,1,130862.43,1,Germany,1,0
38,0,122570.87,1,France,1,0
25,0,0.0,2,France,1,0
39,0,124828.46,2,Germany,1,0
50,1,144895.05,2,Germany,1,0
34,1,63663.93,1,Germany,1,0
40,0,133463.1,1,France,1,0
48,1,213146.2,1,Spain,0,1
35,1,129490.36,2,Spain,1,1
44,0,137452.09,1,Germany,0,0
34,0,0.0,2,France,1,0
43,1,125851.93,1,France,1,0
52,0,0.0,1,Spain,0,1
31,1,40915.55,1,France,0,1
21,1,113157.22,1,Spain,1,0
29,1,138296.94,2,Spain,0,0
37,0,106967.18,1,France,0,0
44,0,120681.63,1,France,0,0
32,0,0.0,2,France,1,0
32,1,0.0,2,Spain,0,0
48,1,0.0,1,France,0,1
42,0,0.0,2,Spain,0,0
37,0,127609.59,1,France,0,0
43,1,0.0,2,France,1,0
57,0,0.0,1,Spain,0,1
33,1,0.0,2,France,0,0
28,1,0.0,2,Spain,1,0
